archivo,nombre_completo,mes,fecha_pago,importe,metodo
listas/L06_pagos_por_meses_1.xlsx,Irene López Ruiz,2026-03,,55,
listas/L06_pagos_por_meses_1.xlsx,Irene López Ruiz,2026-04,,55,
listas/L06_pagos_por_meses_1.xlsx,Irene López Ruiz,2026-05,,55,
listas/L06_pagos_por_meses_1.xlsx,Irene López Ruiz,2026-06,,55,
listas/L06_pagos_por_meses_1.xlsx,Irene López Ruiz,2026-08,,55,
listas/L06_pagos_por_meses_1.xlsx,Nuria Fernández Serrano,2026-02,,40,
listas/L06_pagos_por_meses_1.xlsx,Nuria Fernández Serrano,2026-03,,40,
listas/L06_pagos_por_meses_1.xlsx,Nuria Fernández Serrano,2026-04,,40,
listas/L06_pagos_por_meses_1.xlsx,Nuria Fernández Serrano,2026-05,,40,
listas/L06_pagos_por_meses_1.xlsx,Nuria Fernández Serrano,2026-06,,40,
listas/L06_pagos_por_meses_1.xlsx,Nuria Fernández Serrano,2026-07,,40,
listas/L06_pagos_por_meses_1.xlsx,Nuria Fernández Serrano,2026-08,,40,
listas/L06_pagos_por_meses_1.xlsx,Nuria Fernández Serrano,2026-09,,40,
listas/L06_pagos_por_meses_1.xlsx,Álvaro Martín Alonso,2026-06,,40,
listas/L06_pagos_por_meses_1.xlsx,Álvaro Martín Alonso,2026-07,,40,
listas/L06_pagos_por_meses_1.xlsx,Álvaro Martín Alonso,2026-08,,40,
listas/L06_pagos_por_meses_1.xlsx,Álvaro Martín Alonso,2026-09,,40,
listas/L06_pagos_por_meses_1.xlsx,Tomás Díaz Sánchez,2026-01,,50,
listas/L06_pagos_por_meses_1.xlsx,Tomás Díaz Sánchez,2026-02,,50,
listas/L06_pagos_por_meses_1.xlsx,Tomás Díaz Sánchez,2026-03,,50,
listas/L06_pagos_por_meses_1.xlsx,Tomás Díaz Sánchez,2026-04,,50,
listas/L06_pagos_por_meses_1.xlsx,Tomás Díaz Sánchez,2026-05,,50,
listas/L06_pagos_por_meses_1.xlsx,Tomás Díaz Sánchez,2026-06,,50,
listas/L06_pagos_por_meses_1.xlsx,Tomás Díaz Sánchez,2026-07,,50,
listas/L06_pagos_por_meses_1.xlsx,Tomás Díaz Sánchez,2026-09,,50,
listas/L06_pagos_por_meses_1.xlsx,Adrián Ruiz Hernández,2026-05,,35,
listas/L06_pagos_por_meses_1.xlsx,Adrián Ruiz Hernández,2026-06,,35,
listas/L06_pagos_por_meses_1.xlsx,Adrián Ruiz Hernández,2026-07,,35,
listas/L06_pagos_por_meses_1.xlsx,Adrián Ruiz Hernández,2026-08,,35,
listas/L06_pagos_por_meses_1.xlsx,Nuria Muñoz Díaz,2026-05,,35,
listas/L06_pagos_por_meses_1.xlsx,Nuria Muñoz Díaz,2026-06,,35,
listas/L06_pagos_por_meses_1.xlsx,Nuria Muñoz Díaz,2026-07,,35,
listas/L06_pagos_por_meses_1.xlsx,Nuria Muñoz Díaz,2026-08,,35,
listas/L06_pagos_por_meses_1.xlsx,Daniel Gómez Serrano,2026-05,,60,
listas/L06_pagos_por_meses_1.xlsx,Daniel Gómez Serrano,2026-06,,60,
listas/L06_pagos_por_meses_1.xlsx,Daniel Gómez Serrano,2026-07,,60,
listas/L06_pagos_por_meses_1.xlsx,Daniel Gómez Serrano,2026-08,,60,
listas/L06_pagos_por_meses_1.xlsx,Beatriz Hernández Blanco,2026-03,,50,
listas/L06_pagos_por_meses_1.xlsx,Beatriz Hernández Blanco,2026-04,,50,
listas/L06_pagos_por_meses_1.xlsx,Beatriz Hernández Blanco,2026-05,,50,
listas/L06_pagos_por_meses_1.xlsx,Beatriz Hernández Blanco,2026-06,,50,
listas/L06_pagos_por_meses_1.xlsx,Beatriz Hernández Blanco,2026-07,,50,
listas/L06_pagos_por_meses_1.xlsx,Beatriz Hernández Blanco,2026-08,,50,
listas/L06_pagos_por_meses_1.xlsx,Beatriz Hernández Blanco,2026-09,,50,
listas/L06_pagos_por_meses_1.xlsx,Carla Díaz Ortiz,2026-08,,60,
listas/L06_pagos_por_meses_1.xlsx,Carla Díaz Ortiz,2026-09,,60,
listas/L07_pagos_lista_1.xlsx,Raquel Romero Fernández,2026-06,2026-06-09,35,Efectivo
listas/L07_pagos_lista_1.xlsx,Lucía Ruiz Martín,2026-08,2026-08-08,45,Tarjeta
listas/L07_pagos_lista_1.xlsx,Claudia Navarro Castro,2026-09,2026-09-07,45,Efectivo
listas/L07_pagos_lista_1.xlsx,Lucía Pérez Alonso,2026-08,2026-08-03,65,Bizum
listas/L07_pagos_lista_1.xlsx,Bruno Gómez Sánchez,2026-07,2026-07-07,45,Tarjeta
listas/L07_pagos_lista_1.xlsx,Lucía Pérez Alonso,2026-09,2026-09-10,65,Tarjeta
listas/L07_pagos_lista_1.xlsx,Lucía Ruiz Martín,2026-06,2026-06-03,45,Domiciliación
listas/L07_pagos_lista_1.xlsx,Lucía Pérez Alonso,2026-09,2026-09-06,65,Transferencia
listas/L07_pagos_lista_1.xlsx,Raquel Romero Fernández,2026-08,2026-08-02,35,Transferencia
listas/L07_pagos_lista_1.xlsx,Bruno Gómez Sánchez,2026-06,2026-06-08,45,Bizum
listas/L07_pagos_lista_1.xlsx,Raquel Romero Fernández,2026-08,2026-08-08,35,Efectivo
listas/L07_pagos_lista_1.xlsx,Alba Hernández Romero,2026-07,2026-07-01,60,Efectivo
listas/L07_pagos_lista_1.xlsx,Alba Hernández Romero,2026-06,2026-06-09,60,Transferencia
listas/L07_pagos_lista_1.xlsx,Inés Gutiérrez López,2026-08,2026-08-04,55,Bizum
listas/L07_pagos_lista_1.xlsx,Lucía Ruiz Martín,2026-09,2026-09-02,45,Transferencia
listas/L07_pagos_lista_1.xlsx,Raquel Romero Fernández,2026-08,2026-08-04,35,Tarjeta
listas/L07_pagos_lista_1.xlsx,Alba Hernández Romero,2026-08,2026-08-08,60,Tarjeta
listas/L07_pagos_lista_1.xlsx,Daniel Alonso Fernández,2026-08,2026-08-06,40,Transferencia
listas/L07_pagos_lista_1.xlsx,Rubén Gómez Hernández,2026-06,2026-06-08,35,Bizum
listas/L07_pagos_lista_1.xlsx,Daniel Alonso Fernández,2026-07,2026-07-09,40,Domiciliación
listas/L07_pagos_lista_1.xlsx,Sara Álvarez Hernández,2026-08,2026-08-03,35,Domiciliación
listas/L07_pagos_lista_1.xlsx,Sara Álvarez Hernández,2026-09,2026-09-01,35,Tarjeta
listas/L07_pagos_lista_1.xlsx,Lucía Ruiz Martín,2026-09,2026-09-07,45,Bizum
listas/L07_pagos_lista_1.xlsx,Rubén Gómez Hernández,2026-07,2026-07-06,35,Domiciliación
listas/L07_pagos_lista_1.xlsx,Sara Álvarez Hernández,2026-06,2026-06-08,35,Efectivo
listas/L07_pagos_lista_1.xlsx,Rubén Gómez Hernández,2026-06,2026-06-09,35,Domiciliación
listas/L06_pagos_por_meses_2.xlsx,Marcos Hernández Pérez,2026-08,,65,
listas/L06_pagos_por_meses_2.xlsx,Marcos Hernández Pérez,2026-09,,65,
listas/L06_pagos_por_meses_2.xlsx,Nuria Álvarez Navarro,2026-03,,50,
listas/L06_pagos_por_meses_2.xlsx,Nuria Álvarez Navarro,2026-04,,50,
listas/L06_pagos_por_meses_2.xlsx,Nuria Álvarez Navarro,2026-05,,50,
listas/L06_pagos_por_meses_2.xlsx,Nuria Álvarez Navarro,2026-07,,50,
listas/L06_pagos_por_meses_2.xlsx,Nuria Álvarez Navarro,2026-08,,50,
listas/L06_pagos_por_meses_2.xlsx,Sergio García Domínguez,2026-08,,40,
listas/L06_pagos_por_meses_2.xlsx,Diego Pérez Ruiz,2026-04,,65,
listas/L06_pagos_por_meses_2.xlsx,Diego Pérez Ruiz,2026-05,,65,
listas/L06_pagos_por_meses_2.xlsx,Diego Pérez Ruiz,2026-06,,65,
listas/L06_pagos_por_meses_2.xlsx,Diego Pérez Ruiz,2026-07,,65,
listas/L06_pagos_por_meses_2.xlsx,Diego Pérez Ruiz,2026-08,,65,
listas/L06_pagos_por_meses_2.xlsx,Diego Pérez Ruiz,2026-09,,65,
listas/L06_pagos_por_meses_2.xlsx,Javier López Gutiérrez,2026-05,,35,
listas/L06_pagos_por_meses_2.xlsx,Javier López Gutiérrez,2026-06,,35,
listas/L06_pagos_por_meses_2.xlsx,Javier López Gutiérrez,2026-07,,35,
listas/L06_pagos_por_meses_2.xlsx,Javier López Gutiérrez,2026-08,,35,
listas/L06_pagos_por_meses_2.xlsx,Íker Ramírez Blanco,2026-06,,35,
listas/L06_pagos_por_meses_2.xlsx,Íker Ramírez Blanco,2026-07,,35,
listas/L06_pagos_por_meses_2.xlsx,Íker Ramírez Blanco,2026-08,,35,
listas/L06_pagos_por_meses_2.xlsx,Hugo Ramos García,2026-06,,65,
listas/L06_pagos_por_meses_2.xlsx,Hugo Ramos García,2026-07,,65,
listas/L06_pagos_por_meses_2.xlsx,Hugo Ramos García,2026-08,,65,
listas/L06_pagos_por_meses_2.xlsx,Hugo Ramos García,2026-09,,65,
listas/L06_pagos_por_meses_2.xlsx,Álvaro García Pérez,2026-08,,50,
listas/L06_pagos_por_meses_2.xlsx,Álvaro García Pérez,2026-09,,50,
listas/L06_pagos_por_meses_2.xlsx,Inés Ortiz Sánchez,2026-01,,55,
listas/L06_pagos_por_meses_2.xlsx,Inés Ortiz Sánchez,2026-02,,55,
listas/L06_pagos_por_meses_2.xlsx,Inés Ortiz Sánchez,2026-03,,55,
listas/L06_pagos_por_meses_2.xlsx,Inés Ortiz Sánchez,2026-05,,55,
listas/L06_pagos_por_meses_2.xlsx,Inés Ortiz Sánchez,2026-06,,55,
listas/L06_pagos_por_meses_2.xlsx,Inés Ortiz Sánchez,2026-07,,55,
listas/L06_pagos_por_meses_2.xlsx,Inés Ortiz Sánchez,2026-08,,55,
listas/L06_pagos_por_meses_2.xlsx,Inés Ortiz Sánchez,2026-09,,55,
listas/L06_pagos_por_meses_2.xlsx,Laura Serrano Ortiz,2026-02,,60,
listas/L06_pagos_por_meses_2.xlsx,Laura Serrano Ortiz,2026-03,,60,
listas/L06_pagos_por_meses_2.xlsx,Laura Serrano Ortiz,2026-04,,60,
listas/L06_pagos_por_meses_2.xlsx,Laura Serrano Ortiz,2026-05,,60,
listas/L06_pagos_por_meses_2.xlsx,Laura Serrano Ortiz,2026-06,,60,
listas/L06_pagos_por_meses_2.xlsx,Laura Serrano Ortiz,2026-07,,60,
listas/L06_pagos_por_meses_2.xlsx,Laura Serrano Ortiz,2026-08,,60,
listas/L06_pagos_por_meses_2.xlsx,Laura Serrano Ortiz,2026-09,,60,
listas/L06_pagos_por_meses_2.xlsx,Paula Castro Díaz,2026-05,,65,
listas/L06_pagos_por_meses_2.xlsx,Paula Castro Díaz,2026-06,,65,
listas/L06_pagos_por_meses_2.xlsx,Paula Castro Díaz,2026-07,,65,
listas/L06_pagos_por_meses_2.xlsx,Paula Castro Díaz,2026-08,,65,
listas/L06_pagos_por_meses_2.xlsx,Paula Castro Díaz,2026-09,,65,
listas/L06_pagos_por_meses_2.xlsx,Bruno Gil Díaz,2026-04,,40,
listas/L06_pagos_por_meses_2.xlsx,Bruno Gil Díaz,2026-05,,40,
listas/L06_pagos_por_meses_2.xlsx,Bruno Gil Díaz,2026-06,,40,
listas/L06_pagos_por_meses_2.xlsx,Bruno Gil Díaz,2026-07,,40,
listas/L06_pagos_por_meses_2.xlsx,Sara Ruiz Gómez,2026-07,,40,
listas/L06_pagos_por_meses_2.xlsx,Sara Ruiz Gómez,2026-08,,40,
listas/L06_pagos_por_meses_2.xlsx,Sara Ruiz Gómez,2026-09,,40,
listas/L06_pagos_por_meses_2.xlsx,Claudia Ramírez Vázquez,2026-08,,65,
listas/L06_pagos_por_meses_2.xlsx,Claudia Ramírez Vázquez,2026-09,,65,
listas/L06_pagos_por_meses_2.xlsx,Irene Sánchez Blanco,2026-01,,40,
listas/L06_pagos_por_meses_2.xlsx,Irene Sánchez Blanco,2026-02,,40,
listas/L06_pagos_por_meses_2.xlsx,Irene Sánchez Blanco,2026-03,,40,
listas/L06_pagos_por_meses_2.xlsx,Irene Sánchez Blanco,2026-04,,40,
listas/L06_pagos_por_meses_2.xlsx,Irene Sánchez Blanco,2026-05,,40,
listas/L06_pagos_por_meses_2.xlsx,Irene Sánchez Blanco,2026-06,,40,
listas/L06_pagos_por_meses_2.xlsx,Irene Sánchez Blanco,2026-07,,40,
listas/L06_pagos_por_meses_2.xlsx,Irene Sánchez Blanco,2026-08,,40,
listas/L06_pagos_por_meses_2.xlsx,Gonzalo Gil Pérez,2026-06,,35,
listas/L06_pagos_por_meses_2.xlsx,Gonzalo Gil Pérez,2026-07,,35,
listas/L06_pagos_por_meses_2.xlsx,Gonzalo Gil Pérez,2026-08,,35,
listas/L06_pagos_por_meses_2.xlsx,Adrián Romero Fernández,2026-05,,45,
listas/L06_pagos_por_meses_2.xlsx,Adrián Romero Fernández,2026-07,,45,
listas/L06_pagos_por_meses_2.xlsx,Adrián Romero Fernández,2026-08,,45,
listas/L06_pagos_por_meses_2.xlsx,Adrián Romero Fernández,2026-09,,45,
listas/L06_pagos_por_meses_2.xlsx,Diego Díaz Torres,2026-02,,50,
listas/L06_pagos_por_meses_2.xlsx,Diego Díaz Torres,2026-04,,50,
listas/L06_pagos_por_meses_2.xlsx,Diego Díaz Torres,2026-05,,50,
listas/L06_pagos_por_meses_2.xlsx,Diego Díaz Torres,2026-06,,50,
listas/L06_pagos_por_meses_2.xlsx,Diego Díaz Torres,2026-07,,50,
listas/L06_pagos_por_meses_2.xlsx,Diego Díaz Torres,2026-08,,50,
listas/L06_pagos_por_meses_2.xlsx,Laura Martínez Fernández,2026-08,,40,
listas/L06_pagos_por_meses_2.xlsx,Laura Martínez Fernández,2026-09,,40,
listas/L07_pagos_lista_2.xlsx,Adrián Romero Gómez,2026-06,2026-06-08,60,Efectivo
listas/L07_pagos_lista_2.xlsx,Raquel Gil Navarro,2026-08,2026-08-07,50,Domiciliación
listas/L07_pagos_lista_2.xlsx,Adrián Romero Gómez,2026-07,2026-07-01,60,Efectivo
listas/L07_pagos_lista_2.xlsx,Claudia Serrano Navarro,2026-09,2026-09-01,55,Bizum
listas/L07_pagos_lista_2.xlsx,Raquel Gil Navarro,2026-09,2026-09-01,50,Domiciliación
listas/L07_pagos_lista_2.xlsx,Gonzalo Hernández Ruiz,2026-08,2026-08-07,35,Efectivo
listas/L07_pagos_lista_2.xlsx,Andrea Díaz Díaz,2026-08,2026-08-02,45,Bizum
listas/L07_pagos_lista_2.xlsx,Víctor Díaz Pérez,2026-07,2026-07-07,35,Bizum
listas/L07_pagos_lista_2.xlsx,Andrea Díaz Díaz,2026-08,2026-08-04,45,Domiciliación
listas/L07_pagos_lista_2.xlsx,Raúl Gómez Ramírez,2026-07,2026-07-06,55,Efectivo
listas/L07_pagos_lista_2.xlsx,Sergio Molina Hernández,2026-06,2026-06-08,55,Domiciliación
listas/L07_pagos_lista_2.xlsx,Raúl Gómez Ramírez,2026-07,2026-07-02,55,Tarjeta
listas/L07_pagos_lista_2.xlsx,Jorge Domínguez Molina,2026-07,2026-07-05,45,Bizum
listas/L07_pagos_lista_2.xlsx,Jorge Domínguez Molina,2026-08,2026-08-09,45,Domiciliación
listas/L07_pagos_lista_2.xlsx,Adrián Romero Gómez,2026-06,2026-06-02,60,Transferencia
listas/L07_pagos_lista_2.xlsx,Raúl Gómez Ramírez,2026-08,2026-08-03,55,Tarjeta
listas/L07_pagos_lista_2.xlsx,Adrián Romero Gómez,2026-09,2026-09-10,60,Tarjeta
listas/L07_pagos_lista_2.xlsx,Víctor Díaz Pérez,2026-06,2026-06-01,35,Domiciliación
listas/L07_pagos_lista_2.xlsx,Jorge Domínguez Molina,2026-07,2026-07-05,45,Transferencia
listas/L07_pagos_lista_2.xlsx,Andrea Díaz Díaz,2026-07,2026-07-05,45,Transferencia
listas/L07_pagos_lista_2.xlsx,Raúl Gómez Ramírez,2026-09,2026-09-06,55,Bizum
listas/L07_pagos_lista_2.xlsx,Raquel Gil Navarro,2026-06,2026-06-09,50,Domiciliación
listas/L07_pagos_lista_2.xlsx,Andrea Díaz Díaz,2026-07,2026-07-04,45,Transferencia
listas/L07_pagos_lista_2.xlsx,Sergio Molina Hernández,2026-09,2026-09-04,55,Transferencia
listas/L07_pagos_lista_2.xlsx,Raquel Gil Navarro,2026-06,2026-06-08,50,Tarjeta
listas/L07_pagos_lista_2.xlsx,Gonzalo Hernández Ruiz,2026-06,2026-06-06,35,Tarjeta
listas/L07_pagos_lista_2.xlsx,Víctor Díaz Pérez,2026-09,2026-09-05,35,Domiciliación
listas/L07_pagos_lista_2.xlsx,Adrián Romero Gómez,2026-07,2026-07-02,60,Domiciliación
listas/L07_pagos_lista_2.xlsx,Víctor Díaz Pérez,2026-06,2026-06-02,35,Efectivo
listas/L07_pagos_lista_2.xlsx,Víctor Díaz Pérez,2026-08,2026-08-10,35,Transferencia
listas/L07_pagos_lista_2.xlsx,Gonzalo Hernández Ruiz,2026-06,2026-06-02,35,Transferencia
listas/L07_pagos_lista_2.xlsx,Víctor Díaz Pérez,2026-07,2026-07-08,35,Transferencia
listas/L07_pagos_lista_2.xlsx,Víctor Díaz Pérez,2026-08,2026-08-02,35,Efectivo
listas/L07_pagos_lista_2.xlsx,Adrián Romero Gómez,2026-09,2026-09-07,60,Domiciliación
listas/L06_pagos_por_meses_3.xlsx,Sofía Castro Molina,2026-06,,40,
listas/L06_pagos_por_meses_3.xlsx,Sofía Castro Molina,2026-07,,40,
listas/L06_pagos_por_meses_3.xlsx,Sofía Castro Molina,2026-08,,40,
listas/L06_pagos_por_meses_3.xlsx,Sofía Castro Molina,2026-09,,40,
listas/L06_pagos_por_meses_3.xlsx,Rubén Navarro Ramírez,2026-08,,45,
listas/L06_pagos_por_meses_3.xlsx,Rubén Navarro Ramírez,2026-09,,45,
listas/L06_pagos_por_meses_3.xlsx,Diego Ortiz García,2026-06,,60,
listas/L06_pagos_por_meses_3.xlsx,Diego Ortiz García,2026-07,,60,
listas/L06_pagos_por_meses_3.xlsx,Diego Ortiz García,2026-08,,60,
listas/L06_pagos_por_meses_3.xlsx,Diego Ortiz García,2026-09,,60,
listas/L06_pagos_por_meses_3.xlsx,Irene García Martín,2026-01,,65,
listas/L06_pagos_por_meses_3.xlsx,Irene García Martín,2026-03,,65,
listas/L06_pagos_por_meses_3.xlsx,Irene García Martín,2026-04,,65,
listas/L06_pagos_por_meses_3.xlsx,Irene García Martín,2026-06,,65,
listas/L06_pagos_por_meses_3.xlsx,Irene García Martín,2026-07,,65,
listas/L06_pagos_por_meses_3.xlsx,Irene García Martín,2026-08,,65,
listas/L06_pagos_por_meses_3.xlsx,Marta Gil Fernández,2026-04,,65,
listas/L06_pagos_por_meses_3.xlsx,Marta Gil Fernández,2026-05,,65,
listas/L06_pagos_por_meses_3.xlsx,Marta Gil Fernández,2026-06,,65,
listas/L06_pagos_por_meses_3.xlsx,Marta Gil Fernández,2026-07,,65,
listas/L06_pagos_por_meses_3.xlsx,Marta Gil Fernández,2026-09,,65,
listas/L06_pagos_por_meses_3.xlsx,Inés Blanco Hernández,2026-06,,45,
listas/L06_pagos_por_meses_3.xlsx,Inés Blanco Hernández,2026-07,,45,
listas/L06_pagos_por_meses_3.xlsx,Inés Blanco Hernández,2026-08,,45,
listas/L06_pagos_por_meses_3.xlsx,Inés Blanco Hernández,2026-09,,45,
listas/L06_pagos_por_meses_3.xlsx,Alba Martínez Ortiz,2026-05,,45,
listas/L06_pagos_por_meses_3.xlsx,Alba Martínez Ortiz,2026-06,,45,
listas/L06_pagos_por_meses_3.xlsx,Alba Martínez Ortiz,2026-07,,45,
listas/L06_pagos_por_meses_3.xlsx,Alba Martínez Ortiz,2026-08,,45,
listas/L06_pagos_por_meses_3.xlsx,Alba Martínez Ortiz,2026-09,,45,
listas/L06_pagos_por_meses_3.xlsx,Álvaro Sánchez López,2026-03,,45,
listas/L06_pagos_por_meses_3.xlsx,Álvaro Sánchez López,2026-04,,45,
listas/L06_pagos_por_meses_3.xlsx,Álvaro Sánchez López,2026-05,,45,
listas/L06_pagos_por_meses_3.xlsx,Álvaro Sánchez López,2026-06,,45,
listas/L06_pagos_por_meses_3.xlsx,Álvaro Sánchez López,2026-07,,45,
listas/L06_pagos_por_meses_3.xlsx,Álvaro Sánchez López,2026-08,,45,
listas/L06_pagos_por_meses_3.xlsx,Irene Moreno Fernández,2026-03,,50,
listas/L06_pagos_por_meses_3.xlsx,Irene Moreno Fernández,2026-04,,50,
listas/L06_pagos_por_meses_3.xlsx,Irene Moreno Fernández,2026-05,,50,
listas/L06_pagos_por_meses_3.xlsx,Irene Moreno Fernández,2026-06,,50,
listas/L06_pagos_por_meses_3.xlsx,Irene Moreno Fernández,2026-07,,50,
listas/L06_pagos_por_meses_3.xlsx,Irene Moreno Fernández,2026-08,,50,
listas/L06_pagos_por_meses_3.xlsx,Irene Moreno Fernández,2026-09,,50,
listas/L06_pagos_por_meses_3.xlsx,Laura Domínguez Blanco,2026-09,,65,
listas/L06_pagos_por_meses_3.xlsx,Lucía Navarro Alonso,2026-01,,45,
listas/L06_pagos_por_meses_3.xlsx,Lucía Navarro Alonso,2026-02,,45,
listas/L06_pagos_por_meses_3.xlsx,Lucía Navarro Alonso,2026-03,,45,
listas/L06_pagos_por_meses_3.xlsx,Lucía Navarro Alonso,2026-05,,45,
listas/L06_pagos_por_meses_3.xlsx,Lucía Navarro Alonso,2026-06,,45,
listas/L06_pagos_por_meses_3.xlsx,Lucía Navarro Alonso,2026-07,,45,
listas/L06_pagos_por_meses_3.xlsx,Lucía Navarro Alonso,2026-08,,45,
listas/L06_pagos_por_meses_3.xlsx,Lucía Navarro Alonso,2026-09,,45,
listas/L06_pagos_por_meses_3.xlsx,Hugo Ortiz Romero,2026-09,,65,
listas/L06_pagos_por_meses_3.xlsx,Claudia Pérez Jiménez,2026-08,,65,
listas/L06_pagos_por_meses_3.xlsx,Claudia Pérez Jiménez,2026-09,,65,
listas/L06_pagos_por_meses_3.xlsx,Víctor Álvarez Martín,2026-06,,45,
listas/L06_pagos_por_meses_3.xlsx,Víctor Álvarez Martín,2026-07,,45,
listas/L06_pagos_por_meses_3.xlsx,Víctor Álvarez Martín,2026-09,,45,
listas/L06_pagos_por_meses_3.xlsx,Laura Alonso Alonso,2026-07,,50,
listas/L06_pagos_por_meses_3.xlsx,Laura Alonso Alonso,2026-08,,50,
listas/L06_pagos_por_meses_3.xlsx,Laura Alonso Alonso,2026-09,,50,
listas/L06_pagos_por_meses_3.xlsx,Álvaro Castro Sánchez,2026-07,,65,
listas/L06_pagos_por_meses_3.xlsx,Álvaro Castro Sánchez,2026-08,,65,
listas/L06_pagos_por_meses_3.xlsx,Álvaro Castro Sánchez,2026-09,,65,
listas/L06_pagos_por_meses_3.xlsx,Raúl Álvarez Navarro,2026-05,,65,
listas/L06_pagos_por_meses_3.xlsx,Raúl Álvarez Navarro,2026-07,,65,
listas/L06_pagos_por_meses_3.xlsx,Raúl Álvarez Navarro,2026-09,,65,
listas/L07_pagos_lista_3.xlsx,Elena Sánchez Fernández,2026-07,2026-07-09,45,Bizum
listas/L07_pagos_lista_3.xlsx,Elena Muñoz Jiménez,2026-07,2026-07-05,35,Domiciliación
listas/L07_pagos_lista_3.xlsx,Elena Muñoz Jiménez,2026-06,2026-06-09,35,Tarjeta
listas/L07_pagos_lista_3.xlsx,Inés Gómez Ortiz,2026-07,2026-07-04,55,Bizum
listas/L07_pagos_lista_3.xlsx,Inés Gómez Ortiz,2026-09,2026-09-09,55,Efectivo
listas/L07_pagos_lista_3.xlsx,Hugo García Gómez,2026-07,2026-07-07,50,Efectivo
listas/L07_pagos_lista_3.xlsx,Sergio Gómez Gutiérrez,2026-09,2026-09-07,65,Efectivo
listas/L07_pagos_lista_3.xlsx,Elena Muñoz Jiménez,2026-09,2026-09-09,35,Tarjeta
listas/L07_pagos_lista_3.xlsx,Sergio Gómez Gutiérrez,2026-08,2026-08-06,65,Domiciliación
