archivo,hoja,fila,col,valor,etiqueta
1_estilo_bloques.xlsx,OCTUBRE 26,25,5,19:45,hora
1_estilo_bloques.xlsx,OCTUBRE 26,25,6,21:00,hora
1_estilo_bloques.xlsx,OCTUBRE 26,26,3,Alba D,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,26,4,Hugo S,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,26,5,1. Adrian K,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,27,2,2. Ivan C,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,27,4,Mario Z,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,27,5,2. Irene P,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,27,6,2. Ivan C,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,28,2,Pablo R,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,28,4,Pablo R,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,28,5,Elena J,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,29,2,Sara M,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,29,3,4. Daniel O,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,29,4,4. Pablo R,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,29,5,Laura G,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,32,1,martes 6,dia
1_estilo_bloques.xlsx,OCTUBRE 26,34,2,09:30,hora
1_estilo_bloques.xlsx,OCTUBRE 26,34,3,10:45,hora
1_estilo_bloques.xlsx,OCTUBRE 26,34,4,18:30,hora
1_estilo_bloques.xlsx,OCTUBRE 26,34,5,19:45,hora
1_estilo_bloques.xlsx,OCTUBRE 26,34,6,21:00,hora
1_estilo_bloques.xlsx,OCTUBRE 26,35,5,Ivan C,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,35,6,Lucia B,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,37,2,Nerea L cp,prueba
1_estilo_bloques.xlsx,OCTUBRE 26,37,4,2. Adrian K,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,37,5,(CP) Nerea L,prueba
1_estilo_bloques.xlsx,OCTUBRE 26,38,3,3. Sara M,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,38,4,Ruben V,nombre
1_estilo_bloques.xlsx,OCTUBRE 26,38,5,3. Mario Z,nombre
2_semana_tabla.xlsx,Semana 05-10,1,1,HORARIO,otro
2_semana_tabla.xlsx,Semana 05-10,1,2,Lunes 5/10,dia
2_semana_tabla.xlsx,Semana 05-10,1,3,Martes 6/10,dia
2_semana_tabla.xlsx,Semana 05-10,1,4,Miérc. 7/10,dia
2_semana_tabla.xlsx,Semana 05-10,1,5,Jueves 8,dia
2_semana_tabla.xlsx,Semana 05-10,1,6,VIE 9/10,dia
2_semana_tabla.xlsx,Semana 05-10,2,1,9:30,hora
2_semana_tabla.xlsx,Semana 05-10,2,2,Elena J / Oscar N / Nerea L (prueba),prueba
2_semana_tabla.xlsx,Semana 05-10,2,3,Laura G,nombre
2_semana_tabla.xlsx,Semana 05-10,2,4,Nerea L,nombre
2_semana_tabla.xlsx,Semana 05-10,3,1,12:00,hora
2_semana_tabla.xlsx,Semana 05-10,3,2,"Elena J, Mario Z",nombre
2_semana_tabla.xlsx,Semana 05-10,3,4,Sara M,nombre
2_semana_tabla.xlsx,Semana 05-10,3,5,Mario Z; Laura G; Irene P,nombre
2_semana_tabla.xlsx,Semana 05-10,3,6,Alba D,nombre
2_semana_tabla.xlsx,Semana 05-10,4,1,17:15,hora
2_semana_tabla.xlsx,Semana 05-10,4,2,Elena J / Pablo R / Alba D,nombre
2_semana_tabla.xlsx,Semana 05-10,4,3,Oscar N,nombre
2_semana_tabla.xlsx,Semana 05-10,4,4,Irene P / Pablo R,nombre
2_semana_tabla.xlsx,Semana 05-10,4,6,Daniel O,nombre
2_semana_tabla.xlsx,Semana 05-10,5,1,18:30,hora
2_semana_tabla.xlsx,Semana 05-10,5,2,"Pablo R, Hugo S, Lucia B",nombre
2_semana_tabla.xlsx,Semana 05-10,5,3,Oscar N,nombre
2_semana_tabla.xlsx,Semana 05-10,5,4,Oscar N / Sara M (prueba),prueba
2_semana_tabla.xlsx,Semana 05-10,5,6,Mario Z / Paula E (prueba),prueba
2_semana_tabla.xlsx,Semana 05-10,6,1,20h,hora
2_semana_tabla.xlsx,Semana 05-10,6,2,"Elena J (prueba), Irene P",prueba
2_semana_tabla.xlsx,Semana 05-10,6,5,"Alba D, Marcos T",nombre
2_semana_tabla.xlsx,Semana 05-10,6,6,Alba D / Lucia B / Nerea L,nombre
3_lista_simple.xlsx,Reservas,1,1,Fecha,otro
3_lista_simple.xlsx,Reservas,1,2,Hora,otro
3_lista_simple.xlsx,Reservas,1,3,Alumno,otro
3_lista_simple.xlsx,Reservas,1,4,Observaciones,otro
3_lista_simple.xlsx,Reservas,2,1,viernes 2,dia
3_lista_simple.xlsx,Reservas,2,2,18:30,hora
3_lista_simple.xlsx,Reservas,2,3,Ivan C,nombre
3_lista_simple.xlsx,Reservas,3,1,01/10/2026,dia
3_lista_simple.xlsx,Reservas,3,2,09.30h,hora
3_lista_simple.xlsx,Reservas,3,3,Irene P,nombre
3_lista_simple.xlsx,Reservas,4,1,lunes 5,dia
3_lista_simple.xlsx,Reservas,4,2,09.30h,hora
3_lista_simple.xlsx,Reservas,4,3,Laura G,nombre
3_lista_simple.xlsx,Reservas,4,4,trae guantes,otro
3_lista_simple.xlsx,Reservas,5,1,10-oct,dia
3_lista_simple.xlsx,Reservas,5,2,10:45,hora
3_lista_simple.xlsx,Reservas,5,3,Elena J,nombre
3_lista_simple.xlsx,Reservas,6,1,5-oct,dia
3_lista_simple.xlsx,Reservas,6,2,09:30,hora
3_lista_simple.xlsx,Reservas,6,3,Sara M,nombre
3_lista_simple.xlsx,Reservas,6,4,pagado,otro
3_lista_simple.xlsx,Reservas,7,1,lunes 5,dia
3_lista_simple.xlsx,Reservas,7,2,19:45,hora
3_lista_simple.xlsx,Reservas,7,3,Ivan C,nombre
3_lista_simple.xlsx,Reservas,8,1,2026-10-01,dia
3_lista_simple.xlsx,Reservas,8,2,09:30,hora
3_lista_simple.xlsx,Reservas,8,3,Elena J,nombre
3_lista_simple.xlsx,Reservas,9,1,domingo 4,dia
3_lista_simple.xlsx,Reservas,9,2,19:45,hora
3_lista_simple.xlsx,Reservas,9,3,Oscar N,nombre
3_lista_simple.xlsx,Reservas,9,4,trae guantes,otro
3_lista_simple.xlsx,Reservas,10,1,2026-10-12,dia
3_lista_simple.xlsx,Reservas,10,2,10:45,hora
3_lista_simple.xlsx,Reservas,10,3,Carla F,nombre
3_lista_simple.xlsx,Reservas,11,1,martes 6,dia
3_lista_simple.xlsx,Reservas,11,2,09:30,hora
3_lista_simple.xlsx,Reservas,11,3,Laura G,prueba
3_lista_simple.xlsx,Reservas,11,4,CP,otro
3_lista_simple.xlsx,Reservas,12,1,miércoles 7,dia
3_lista_simple.xlsx,Reservas,12,2,10:45,hora
3_lista_simple.xlsx,Reservas,12,3,Irene P,nombre
3_lista_simple.xlsx,Reservas,12,4,trae guantes,otro
3_lista_simple.xlsx,Reservas,13,1,sábado 10,dia
3_lista_simple.xlsx,Reservas,13,2,10:45,hora
3_lista_simple.xlsx,Reservas,13,3,Ruben V,prueba
3_lista_simple.xlsx,Reservas,13,4,prueba,otro
3_lista_simple.xlsx,Reservas,14,1,8-oct,dia
3_lista_simple.xlsx,Reservas,14,2,09.30h,hora
3_lista_simple.xlsx,Reservas,14,3,Daniel O,nombre
3_lista_simple.xlsx,Reservas,14,4,pagado,otro
3_lista_simple.xlsx,Reservas,15,1,2026-10-01,dia
3_lista_simple.xlsx,Reservas,15,2,18:30,hora
3_lista_simple.xlsx,Reservas,15,3,Daniel O,nombre
3_lista_simple.xlsx,Reservas,15,4,pagado,otro
3_lista_simple.xlsx,Reservas,16,1,02/10/2026,dia
3_lista_simple.xlsx,Reservas,16,2,19.45h,hora
3_lista_simple.xlsx,Reservas,16,3,Elena J,nombre
3_lista_simple.xlsx,Reservas,17,1,2026-10-02,dia
3_lista_simple.xlsx,Reservas,17,2,18:30,hora
3_lista_simple.xlsx,Reservas,17,3,Nerea L,nombre
3_lista_simple.xlsx,Reservas,18,1,1-oct,dia
3_lista_simple.xlsx,Reservas,18,2,18.30h,hora
3_lista_simple.xlsx,Reservas,18,3,Pablo R,prueba
3_lista_simple.xlsx,Reservas,18,4,CP,otro
3_lista_simple.xlsx,Reservas,19,1,11-oct,dia
3_lista_simple.xlsx,Reservas,19,2,19.45h,hora
3_lista_simple.xlsx,Reservas,19,3,Adrian K,prueba
3_lista_simple.xlsx,Reservas,19,4,CP,otro
3_lista_simple.xlsx,Reservas,20,1,01/10/2026,dia
3_lista_simple.xlsx,Reservas,20,2,19:45,hora
3_lista_simple.xlsx,Reservas,20,3,Elena J,prueba
3_lista_simple.xlsx,Reservas,20,4,CP,otro
3_lista_simple.xlsx,Reservas,21,1,14/10/2026,dia
3_lista_simple.xlsx,Reservas,21,2,10:45,hora
3_lista_simple.xlsx,Reservas,21,3,Laura G,prueba
3_lista_simple.xlsx,Reservas,21,4,CP,otro
3_lista_simple.xlsx,Reservas,22,1,2026-10-07,dia
3_lista_simple.xlsx,Reservas,22,2,19:45,hora
3_lista_simple.xlsx,Reservas,22,3,Marcos T,nombre
3_lista_simple.xlsx,Reservas,23,1,05/10/2026,dia
3_lista_simple.xlsx,Reservas,23,2,09.30h,hora
3_lista_simple.xlsx,Reservas,23,3,Irene P,nombre
3_lista_simple.xlsx,Reservas,24,1,12-oct,dia
3_lista_simple.xlsx,Reservas,24,2,19.45h,hora
3_lista_simple.xlsx,Reservas,24,3,Irene P,nombre
3_lista_simple.xlsx,Reservas,25,1,domingo 4,dia
3_lista_simple.xlsx,Reservas,25,2,19.45h,hora
3_lista_simple.xlsx,Reservas,25,3,Lucia B,prueba
3_lista_simple.xlsx,Reservas,25,4,CP,otro
3_lista_simple.xlsx,Reservas,26,1,martes 13,dia
3_lista_simple.xlsx,Reservas,26,2,9:30,hora
3_lista_simple.xlsx,Reservas,26,3,Sara M,prueba
3_lista_simple.xlsx,Reservas,26,4,prueba,otro
3_lista_simple.xlsx,Reservas,27,1,domingo 11,dia
3_lista_simple.xlsx,Reservas,27,2,18:30,hora
3_lista_simple.xlsx,Reservas,27,3,Nerea L,prueba
3_lista_simple.xlsx,Reservas,27,4,prueba,otro
3_lista_simple.xlsx,Reservas,28,1,domingo 11,dia
3_lista_simple.xlsx,Reservas,28,2,9:30,hora
3_lista_simple.xlsx,Reservas,28,3,Sara M,nombre
3_lista_simple.xlsx,Reservas,28,4,pagado,otro
3_lista_simple.xlsx,Reservas,29,1,jueves 8,dia
3_lista_simple.xlsx,Reservas,29,2,19.45h,hora
3_lista_simple.xlsx,Reservas,29,3,Hugo S,nombre
3_lista_simple.xlsx,Reservas,30,1,viernes 2,dia
3_lista_simple.xlsx,Reservas,30,2,19:45,hora
3_lista_simple.xlsx,Reservas,30,3,Ruben V,nombre
3_lista_simple.xlsx,Reservas,30,4,trae guantes,otro
3_lista_simple.xlsx,Reservas,31,1,miércoles 7,dia
3_lista_simple.xlsx,Reservas,31,2,10:45,hora
3_lista_simple.xlsx,Reservas,31,3,Irene P,nombre
3_lista_simple.xlsx,Reservas,32,1,martes 6,dia
3_lista_simple.xlsx,Reservas,32,2,10:45,hora
3_lista_simple.xlsx,Reservas,32,3,Elena J,nombre
3_lista_simple.xlsx,Reservas,33,1,2026-10-04,dia
3_lista_simple.xlsx,Reservas,33,2,19.45h,hora
3_lista_simple.xlsx,Reservas,33,3,Lucia B,prueba
3_lista_simple.xlsx,Reservas,33,4,prueba,otro
3_lista_simple.xlsx,Reservas,34,1,domingo 11,dia
3_lista_simple.xlsx,Reservas,34,2,19.45h,hora
3_lista_simple.xlsx,Reservas,34,3,Ruben V,nombre
3_lista_simple.xlsx,Reservas,34,4,trae guantes,otro
3_lista_simple.xlsx,Reservas,35,1,2026-10-07,dia
3_lista_simple.xlsx,Reservas,35,2,18:30,hora
3_lista_simple.xlsx,Reservas,35,3,Carla F,prueba
3_lista_simple.xlsx,Reservas,35,4,CP,otro
3_lista_simple.xlsx,Reservas,36,1,viernes 2,dia
3_lista_simple.xlsx,Reservas,36,2,10:45,hora
3_lista_simple.xlsx,Reservas,36,3,Laura G,nombre
3_lista_simple.xlsx,Reservas,36,4,pagado,otro
3_lista_simple.xlsx,Reservas,37,1,martes 6,dia
3_lista_simple.xlsx,Reservas,37,2,09.30h,hora
3_lista_simple.xlsx,Reservas,37,3,Lucia B,nombre
3_lista_simple.xlsx,Reservas,38,1,miércoles 7,dia
3_lista_simple.xlsx,Reservas,38,2,18:30,hora
3_lista_simple.xlsx,Reservas,38,3,Alba D,prueba
3_lista_simple.xlsx,Reservas,38,4,CP,otro
3_lista_simple.xlsx,Reservas,39,1,11-oct,dia
3_lista_simple.xlsx,Reservas,39,2,10:45,hora
3_lista_simple.xlsx,Reservas,39,3,Alba D,nombre
3_lista_simple.xlsx,Reservas,39,4,pagado,otro
3_lista_simple.xlsx,Reservas,40,1,13-oct,dia
3_lista_simple.xlsx,Reservas,40,2,18.30h,hora
3_lista_simple.xlsx,Reservas,40,3,Laura G,nombre
3_lista_simple.xlsx,Reservas,40,4,trae guantes,otro
3_lista_simple.xlsx,Reservas,41,1,lunes 12,dia
3_lista_simple.xlsx,Reservas,41,2,09:30,hora
3_lista_simple.xlsx,Reservas,41,3,Oscar N,nombre
