archivo,fecha,hora,nombre,prueba
3_lista_simple.xlsx,2026-10-08,09:30,Daniel O,0
3_lista_simple.xlsx,2026-10-01,18:30,Daniel O,0
3_lista_simple.xlsx,2026-10-02,19:45,Elena J,0
3_lista_simple.xlsx,2026-10-02,18:30,Nerea L,0
3_lista_simple.xlsx,2026-10-01,18:30,Pablo R,1
3_lista_simple.xlsx,2026-10-11,19:45,Adrian K,1
3_lista_simple.xlsx,2026-10-01,19:45,Elena J,1
3_lista_simple.xlsx,2026-10-14,10:45,Laura G,1
3_lista_simple.xlsx,2026-10-07,19:45,Marcos T,0
3_lista_simple.xlsx,2026-10-05,09:30,Irene P,0
3_lista_simple.xlsx,2026-10-12,19:45,Irene P,0
3_lista_simple.xlsx,2026-10-04,19:45,Lucia B,1
3_lista_simple.xlsx,2026-10-13,09:30,Sara M,1
3_lista_simple.xlsx,2026-10-11,18:30,Nerea L,1
3_lista_simple.xlsx,2026-10-11,09:30,Sara M,0
3_lista_simple.xlsx,2026-10-08,19:45,Hugo S,0
3_lista_simple.xlsx,2026-10-02,19:45,Ruben V,0
3_lista_simple.xlsx,2026-10-07,10:45,Irene P,0
3_lista_simple.xlsx,2026-10-06,10:45,Elena J,0
3_lista_simple.xlsx,2026-10-04,19:45,Lucia B,1
3_lista_simple.xlsx,2026-10-11,19:45,Ruben V,0
3_lista_simple.xlsx,2026-10-07,18:30,Carla F,1
3_lista_simple.xlsx,2026-10-02,10:45,Laura G,0
3_lista_simple.xlsx,2026-10-06,09:30,Lucia B,0
3_lista_simple.xlsx,2026-10-07,18:30,Alba D,1
3_lista_simple.xlsx,2026-10-11,10:45,Alba D,0
3_lista_simple.xlsx,2026-10-13,18:30,Laura G,0
3_lista_simple.xlsx,2026-10-12,09:30,Oscar N,0
